ident,E1,E2,E3,E4,E5,E6,E7
a900118001076856,0,0,0,0,1,0,0
a982000406562575,0,0,1,1,0,0,0
a982000406562607,0,0,1,0,0,0,0
a982000406562620,0,0,1,0,0,0,0
a982000406562652,1,0,0,0,0,0,0
a982000406562660,1,0,1,1,1,0,0
a982000406562669,0,0,1,1,0,0,0
a982000406562692,0,0,1,0,0,0,0
a982000406562698,0,0,1,0,0,0,0
a982000406562708,1,0,1,0,0,0,0
a982000406562716,0,0,1,1,0,1,0
a982000406562878,1,0,0,1,0,0,0
a982000406562889,0,0,0,1,0,0,0
a982000406563079,0,0,0,0,0,1,0
a982000406563091,0,0,0,0,0,1,0
