ident,E1,E2,E3,E4,E5,E6,E7
a10,1,0,0,0,0,0,0
a12,0,0,0,0,1,0,0
a13,0,0,0,0,1,0,0
a14,0,0,0,0,0,1,0
a2,1,0,0,1,0,0,0
a200,0,1,0,0,0,0,0
a2000,0,0,0,1,0,0,0
a21,0,1,0,0,0,0,0
a3,1,0,0,0,0,0,0
a30,1,0,0,1,0,0,0
a3000,0,0,0,1,0,0,0
a40,1,0,1,0,0,0,0
a4000,0,0,0,0,1,0,0
a500,0,0,1,0,0,0,0
a900118001079196,0,0,0,0,0,1,0
a982000406255054,0,0,0,0,0,1,0
a982000406255066,0,0,0,0,0,1,0
a982000406255076,0,0,1,1,0,1,0
a982000406255080,0,1,0,0,1,1,0
a982000406255089,0,0,0,0,0,1,0
a982000406255093,0,0,0,0,0,1,0
a982000406255096,1,0,1,1,0,1,0
a982000406255135,0,1,1,0,1,1,0
a982000406255146,1,1,0,0,0,0,0
a982000406255148,1,1,0,0,0,1,0
a982000406255169,1,0,0,0,1,1,0
a982000406255194,1,1,0,0,0,0,0
a982000406255203,1,1,0,0,0,0,0
a982000406562556,0,0,0,1,1,0,0
a982000406562628,0,1,1,1,0,0,0
a982000406562645,0,1,0,0,1,0,0
a982000406562649,0,1,0,0,1,0,0
a982000406563163,0,0,0,0,1,1,0
a982000406563243,0,0,0,0,1,0,0
