ident,E1,E2,E3,E4,E5,E6,E7
a1000,1,0,0,0,0,0,0
a900118001079430,0,0,0,0,0,1,0
a900118001079824,0,0,0,1,0,1,0
a900118001081251,0,0,0,0,0,1,0
a982000363614639,0,0,0,1,0,0,0
a982000406255056,0,0,0,1,1,0,0
a982000406255106,0,0,0,1,0,0,0
a982000406255121,1,0,0,1,1,1,0
a982000406255126,1,0,0,0,0,0,0
a982000406255143,1,0,0,0,0,0,0
a982000406255145,1,0,0,1,0,0,0
a982000406255147,1,0,0,1,0,0,0
a982000406255152,1,0,0,1,0,0,0
a982000406255163,1,0,0,0,0,0,0
a982000406255171,0,0,0,0,0,1,0
a982000406255189,0,0,0,0,0,1,0
a982000406562538,0,0,0,1,1,0,0
a982000406562550,0,0,0,1,0,0,0
a982000406562553,0,0,0,1,0,0,0
a982000406562578,0,0,0,1,0,0,0
a982000406562585,0,0,0,1,0,0,0
a982000406562586,0,0,0,1,0,0,0
a982000406562592,0,0,0,1,0,0,0
a982000406562596,0,0,0,1,0,0,0
a982000406562608,0,0,0,1,0,0,0
a982000406562639,0,1,0,0,0,0,0
a982000406562673,1,0,0,0,0,0,0
a982000406562701,1,0,0,0,0,0,0
a982000406562715,1,0,0,1,0,0,0
a982000406562727,0,0,0,1,0,1,0
a982000406562743,0,0,0,1,0,0,0
a982000406562774,0,0,0,1,1,0,0
a982000406562786,0,0,1,1,0,0,0
a982000406562814,0,0,1,0,0,0,0
a982000406562831,0,0,1,0,0,0,0
a982000406562839,0,0,1,0,0,0,0
a982000406562842,0,0,1,0,0,0,0
a982000406562882,0,0,1,0,0,0,0
a982000406563161,0,0,0,0,1,0,0
a982000406563196,0,0,0,0,1,0,0
a982000406563225,0,0,0,0,1,0,0
a982000406563248,0,0,0,0,0,1,0
a982000406563250,0,0,0,0,1,0,0
a982000406563295,0,0,0,0,0,1,0
a982000406563306,0,0,0,0,1,0,0
